temperature
18.2
20.4
22.3
22.4
22.3
21.5
21.6
21.8
22.6
23.0
20.9
22.3
23.9
23.3
24.0
24.8
25.1
24.8
23.6
24.4
24.8
23.3
24.1
23.9
26.3
25.4
24.2
21.0
20.8
22.7
23.7
